"Year","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Province (NUTS 2 unit)","Burgenland <AT11>",,,,,,,,,,,,,,"Carinthia <AT21>",,,,,,,,,,,,,,"Lower Austria <AT12>",,,,,,,,,,,,,,"Upper Austria <AT31>",,,,,,,,,,,,,,
,"Useful energy category","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations",
"Sector","Fuels aggregated",
"Iron and steel","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0519338,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,94.2133825,,-,,-,,-,,-,,-,,-,,3057.262734,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,0.4097899,,3.5610426,,-,,-,,-,,-,,-,,6.1594576,,53.5252089,,-,,-,,-,,-,,-,,0.0893899,,0.7767912,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1.3387769,,-,,-,,-,,-,,-,,-,,6.9372987,,-,,-,,-,,-,,-,,-,,326.8943944,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,2.7071635,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,14.8339784,,6.4660931,,359.0583484,,-,,-,,-,,-,,22.1966748,,9.6754736,,537.2733603,,-,,-,,-,,-,,330.6323791,,144.1218063,,8002.999124,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,8.1609843,,0.3022587,,95.8160003,,183.8337268,,-,,13.9038991,,0.2418069,,25.0036184,,0.9260599,,293.561001,,563.2296556,,-,,42.5987572,,0.740848,,106.2250975,,3.9342629,,1247.16133,,2392.818677,,-,,180.976092,,3.1474103,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,2.6987401,,-,,17.7462609,,-,,-,,-,,-,,1.2362518,,-,,8.129292,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,0.0274602,,-,,0.0583529,,-,,-,,-,,-,,4.2176095,,-,,8.9624203,,-,,-,,-,,-,,6.7597972,,-,,14.364569,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,4405.2814947,,-,,-,,-,,-,,
"Chemical and petrochemical","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,763.4618913,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,141.1328406,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,18.994601,,95.361817,,-,,-,,-,,-,,-,,18.7249887,,94.0082363,,-,,-,,-,,-,,-,,17.6321147,,88.5214956,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,5.5029488,,1.9607613,,1.9607613,,-,,-,,-,,-,,0.0904005,,0.0322107,,0.0322107,,-,,-,,-,,-,,0.4077741,,0.1452944,,0.1452944,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,0.0002455,,-,,-,,-,,-,,-,,-,,0.0143261,,-,,-,,-,,-,,-,,-,,0.3224567,,-,,-,,-,,-,,-,,-,,0.3870623,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0474278,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,0.79993,,1.0331955,,1.9598096,,-0,,-,,-,,-,,0.1424523,,0.1839924,,0.3490048,,-0,,-,,-,,-,,0.4597476,,0.5938134,,1.1263707,,-0,,-,,-,,-,,
,"Natural gas",34.0306931,,896.5561341,,200.0009838,,-,,-,,-,,-,,5.6810539,,149.6702911,,33.387988,,-,,-,,-,,-,,167.4173924,,4410.697415,,983.9248081,,-,,-,,-,,-,,268.6757063,,7078.399837,,1579.027656,,-,,-,,-,,-,,
,"Electricity",1.9326724,,0.141292,,2.0991951,,39.1883391,,-,,7.0999218,,-,,39.9383716,,2.9197765,,43.3795367,,809.8208709,,-,,146.7187697,,-,,231.0653397,,16.8925052,,250.9743638,,4685.256993,,-,,848.848389,,-,,260.0763057,,19.0134114,,282.4849692,,5273.505458,,-,,955.4239221,,-,,
,"District heat",57.0310504,,150.9003391,,1.9731022,,-,,-,,-,,-,,16.4307987,,43.4747928,,0.568456,,-,,-,,-,,-,,431.5781955,,1141.926996,,14.9313031,,-,,-,,-,,-,,158.9149367,,420.4782776,,5.4979772,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,0.0000157,,-,,-,,-,,-,,-,,-,,0.0018882,,-,,-,,-,,-,,-,,-,,533.9593409,,-,,-,,-,,-,,-,,-,,1594.73148,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,882.2389722,,-,,-,,-,,-,,-,,-,,1909.319587,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,0.0002238,,-,,-,,-,,-,,-,,-,,0.0172688,,-,,-,,-,,-,,-,,-,,0.0010935,,-,,-,,-,,-,,-,,-,,
"Non-ferrous metals","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0000004,,-,,-,,-,,-,,-,,-,,0.0000248,,-,,-,,-,,-,,-,,-,,0.000001,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
