"Year","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Province (NUTS 2 unit)","Burgenland <AT11>",,,,,,,,,,,,,,"Carinthia <AT21>",,,,,,,,,,,,,,"Lower Austria <AT12>",,,,,,,,,,,,,,"Upper Austria <AT31>",,,,,,,,,,,,,,
,"Useful energy category","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations",
"Sector","Fuels aggregated",
"Iron and steel","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0567526,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,95.4604117,,-,,-,,-,,-,,-,,-,,2967.788736,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,1.102527,,-,,165.3790453,,-,,-,,-,,-,,0.5347327,,-,,80.2099005,,-,,-,,-,,-,,0.0339095,,-,,5.0864207,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,0.116544,,-,,-,,-,,-,,-,,-,,0.3245621,,-,,-,,-,,-,,-,,-,,0.1081874,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.2772671,,-,,-,,-,,-,,-,,-,,1.7059886,,-,,-,,-,,-,,-,,-,,257.445718,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0390263,,-,,1.2489737,,-,,-,,-,,-,,0.2160383,,-,,6.9139617,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,12.6653546,,9.7994734,,250.9225106,,-,,-,,-,,-,,26.2586185,,20.3168913,,520.2285021,,-,,-,,-,,-,,269.8487546,,208.7881283,,5346.169051,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,8.0332555,,0.1359689,,99.1884971,,142.4007573,,-,,11.4936947,,0.3416375,,22.4306201,,0.3796552,,276.9561492,,397.6143055,,-,,32.0929294,,0.9539272,,89.6028575,,1.5165962,,1106.347582,,1588.336735,,-,,128.200565,,3.8106216,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,10.6488,,-,,-,,-,,-,,-,,-,,14.2344,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,0.0338518,,-,,-,,-,,-,,-,,-,,3.1190488,,-,,-,,-,,-,,-,,-,,0.5754588,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,8.8802489,,3878.241459,,-,,-,,-,,-,,
"Chemical and petrochemical","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,518.1659779,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,457.1212777,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",0.7449398,,9.2661201,,0.9448145,,-,,-,,-,,-,,20.2343114,,251.68956,,25.6633789,,-,,-,,-,,-,,9.6185074,,119.6422179,,12.1992489,,-,,-,,-,,-,,18.6839183,,232.4046066,,23.6969999,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,9.7255623,,1.4061054,,5.0854145,,-,,-,,-,,-,,3.9144946,,0.565951,,2.0468562,,-,,-,,-,,-,,5.2217551,,0.7549525,,2.7304117,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,0.2192024,,-,,-,,-,,-,,-,,-,,8.6128431,,-,,-,,-,,-,,-,,-,,3.047209,,-,,-,,-,,-,,-,,-,,1.2635766,,-,,-,,-,,-,,
,"Natural gas",23.6933475,,624.2134412,,139.2476138,,-,,-,,-,,-,,53.5207277,,217.0552587,,48.7149722,,-,,-,,-,,-,,868.2515935,,3521.225928,,790.2891839,,-,,-,,-,,-,,233.3821494,,5943.951618,,1115.858402,,-,,-,,-,,-,,
,"Electricity",15.6572782,,0.6618866,,0.212218,,31.2561074,,-,,5.8745081,,-,,114.5688487,,9.5474041,,9.5474041,,730.3764103,,-,,90.7003385,,-,,209.6924178,,41.9384836,,41.9384836,,3438.955652,,-,,461.3233192,,-,,410.9612639,,205.480632,,568.0935119,,4197.410852,,-,,661.6017392,,-,,
,"District heat",74.7498964,,74.7498964,,-,,-,,-,,-,,-,,64.8545979,,-,,-,,-,,-,,-,,-,,432.4214974,,86.4842995,,345.9371979,,-,,-,,-,,-,,828.3113835,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,0.0441381,,-,,-,,-,,-,,-,,0.0956325,,-,,-,,-,,-,,-,,-,,0.2942538,,-,,-,,-,,-,,-,,-,,0.4110358,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,0.2103361,,-,,-,,-,,-,,-,,-,,0.4445795,,-,,-,,-,,-,,-,,-,,286.6280424,,-,,-,,-,,-,,-,,-,,1690.413952,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,0.0367647,,-,,-,,-,,-,,-,,-,,0.0776143,,-,,-,,-,,-,,-,,-,,393.0655705,,-,,-,,-,,-,,-,,-,,1822.55724,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Non-ferrous metals","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,23.2401717,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
