"Year","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Province (NUTS 2 unit)","Burgenland <AT11>",,,,,,,,,,,,,,"Carinthia <AT21>",,,,,,,,,,,,,,"Lower Austria <AT12>",,,,,,,,,,,,,,"Upper Austria <AT31>",,,,,,,,,,,,,,
,"Useful energy category","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations","Space and water heating","Space and water heating - Annotations","Process heat <200 �C","Process heat <200 �C - Annotations","Process heat >200 �C","Process heat >200 �C - Annotations","Stationary engines","Stationary engines - Annotations","Traction","Traction - Annotations","Lighting and computing","Lighting and computing - Annotations","Electrochemical purposes","Electrochemical purposes - Annotations",
"Sector","Fuels aggregated",
"Iron and steel","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.109139,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,110.3921073,,-,,-,,-,,-,,-,,-,,3182.977116,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,189.9921656,,-,,-,,-,,-,,-,,-,,99.452107,,-,,-,,-,,-,,-,,-,,9.4854723,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,0.22197,,-,,-,,0.0111181,,-,,-,,-,,0.332955,,-,,-,,0.0166772,,-,,-,,-,,0.110985,,-,,-,,0.0055591,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.3735291,,-,,-,,-,,-,,-,,-,,2.4292263,,-,,-,,-,,-,,-,,-,,283.1113178,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.3803428,,-,,0.6316572,,-,,-,,-,,-,,2.4203635,,-,,4.0196365,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,10.7291441,,23.1981493,,206.7535057,,49.2960673,,-,,-,,-,,26.2220661,,20.9776529,,535.5128614,,-,,-,,-,,-,,270.2513492,,270.2513492,,6215.781031,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,30.7615746,,0.3565289,,45.2043253,,205.4923701,,-,,19.8600209,,-,,15.1698092,,0.7584905,,182.7962012,,509.70559,,-,,50.0603705,,-,,91.0370461,,4.2075993,,830.4271902,,2352.749249,,-,,227.9116262,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,11.0952,,-,,-,,-,,-,,-,,-,,14.8752,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,0.0566032,,-,,-,,-,,-,,-,,-,,2.3912655,,-,,-,,-,,-,,-,,-,,0.3928844,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,10.1684919,,4440.851497,,-,,-,,-,,-,,
"Chemical and petrochemical","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,541.7173169,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,645.7408898,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",14.1257408,,2.4209193,,-,,-,,-,,-,,-,,16.3731861,,286.833963,,-,,-,,-,,-,,-,,12.8412478,,170.6051489,,-,,-,,-,,-,,-,,22.5865577,,280.9485664,,28.6467564,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,1.1745746,,6.3023276,,0.1998488,,0.1182658,,-,,-,,-,,1.0595241,,5.6850096,,0.1802734,,0.1066816,,-,,-,,-,,1.397442,,7.4981507,,0.2377687,,0.1407059,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",0.0000131,,0.070311,,0.0704287,,-,,-,,-,,-,,0.0006858,,3.686958,,3.6931301,,-,,-,,-,,-,,0.0001331,,0.7155469,,0.7167447,,-,,-,,-,,-,,0.0003312,,1.7804727,,1.7834533,,-,,-,,-,,-,,
,"Natural gas",24.2527603,,638.9514589,,142.5353255,,-,,-,,-,,-,,23.5671975,,52.1984209,,119.0046088,,-,,-,,-,,-,,867.8182897,,1290.675547,,2632.748483,,25.5512396,,-,,-,,-,,167.6339054,,5402.383587,,2049.705479,,-,,-,,-,,-,,
,"Electricity",1.7143962,,1.2682269,,0.5050385,,66.1295503,,-,,1.851741,,-,,119.5276121,,9.9606343,,9.9606343,,761.9885271,,-,,94.6260262,,-,,110.2938315,,81.5900103,,32.4911055,,4254.373264,,-,,119.1297568,,-,,148.680649,,109.8943927,,601.1869719,,4925.854544,,-,,678.7594844,,-,,
,"District heat",37.298548,,-,,-,,1.4504991,,-,,168.4651086,,-,,6.3995454,,63.3198143,,3.4570231,,-,,-,,-,,-,,86.9272196,,860.0947482,,46.9579295,,-,,-,,-,,-,,90.9013282,,899.4162628,,49.1047359,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,0.4047352,,-,,-,,-,,-,,-,,0.042722,,0.8117188,,-,,-,,-,,-,,-,,-,,361.525521,,-,,-,,-,,-,,-,,-,,2124.177096,,-,,-,,-,,-,,-,,
